  0.0868 	   0.0005 	   0.0863 	   0.0865 	   0.3250 	 0.002907 	   0.0291 	   1.0457 	  66.8900 	  66.8609 
  0.0863 	   0.0054 	   0.0809 	   0.0836 	   0.3250 	 0.002728 	   0.3273 	   1.0403 	  66.8609 	  66.5336 
  0.0611 	   0.0045 	   0.0566 	   0.0589 	   0.2750 	 0.003212 	   0.3212 	   1.0287 	  66.5336 	  66.2124 
  0.0099 	   0.0054 	   0.0045 	   0.0072 	   0.1250 	 0.003052 	   0.3662 	   0.8067 	  66.5336 	  66.1674 
  0.0099 	   0.0054 	   0.0045 	   0.0072 	   0.1250 	 0.003052 	   0.3662 	   0.8067 	  66.5336 	  66.1674 
  0.0045 	   0.0045 	   0.0000 	   0.0023 	   0.0750 	 0.004260 	   0.4260 	   1.0186 	  66.1674 	  65.7413 
  0.0045 	   0.0045 	   0.0000 	   0.0023 	   0.0750 	 0.004260 	   0.4260 	   1.0186 	  66.1674 	  65.7413 
  0.0368 	   0.0045 	   0.0323 	   0.0346 	   0.2250 	 0.003183 	   0.3183 	   0.9255 	  66.2124 	  65.8941 
  0.0099 	   0.0054 	   0.0045 	   0.0072 	   0.1250 	 0.003052 	   0.3662 	   0.8067 	  66.2124 	  65.8462 
  0.0099 	   0.0054 	   0.0045 	   0.0072 	   0.1250 	 0.003052 	   0.3662 	   0.8067 	  66.2124 	  65.8462 
  0.0045 	   0.0045 	   0.0000 	   0.0023 	   0.0750 	 0.004260 	   0.4260 	   1.0186 	  65.8462 	  65.4201 
  0.0045 	   0.0045 	   0.0000 	   0.0023 	   0.0750 	 0.004260 	   0.4260 	   1.0186 	  65.8462 	  65.4201 
  0.0095 	   0.0045 	   0.0050 	   0.0073 	   0.1250 	 0.003091 	   0.3091 	   0.7741 	  65.8941 	  65.5850 
  0.0129 	   0.0054 	   0.0075 	   0.0102 	   0.1500 	 0.002394 	   0.2873 	   0.7300 	  65.8941 	  65.6068 
  0.0099 	   0.0054 	   0.0045 	   0.0072 	   0.1250 	 0.003052 	   0.3662 	   0.8067 	  65.8941 	  65.5279 
  0.0075 	   0.0045 	   0.0030 	   0.0053 	   0.1000 	 0.005041 	   0.5041 	   0.9549 	  65.6068 	  65.1028 
  0.0045 	   0.0045 	   0.0000 	   0.0023 	   0.0750 	 0.004260 	   0.4260 	   1.0186 	  65.5279 	  65.1018 
